Platform,Domain,Linkedin Company Page,Country,,Continent,Total,Max,Min,Months,,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2
PrestaShop,https://pisosyazulejospuebla.com.mx/,no url,Mexico,,,"$3.300,00","$200,00","$100,00",18,,,,,,$100,$100,$100,$100,$100,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
WooCommerce,https://air2data.com/,https://www.linkedin.com/company/air-2-data/about/,United States,,,"$1.900,00","$100,00","$100,00",18,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
Magento,https://mattenlager.de/,no url,Germany,,EU,"$8.700,00","$500,00","$100,00",18,,,,,,$100,$400,$400,$400,$400,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500
Magento,https://shop.hannover-airport.de/,no url,Germany,,EU,"$8.150,00","$500,00","$50,00",18,,,,,,$50,$400,$400,$400,$400,$500,$500,$500,$500,$500,$500,$500,$500,$500,$400,$400,$400,$400,$400
PrestaShop,https://watertowerbaitandtackle.com/,no url,Australia,,,"$4.500,00","$400,00","$100,00",17,,,,,,,$100,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$400,$400,$400,$400,$400
WooCommerce,https://usdogregistry.org/,no url,United States,,,"$1.800,00","$100,00","$100,00",17,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
Shopify,https://www.senseofcustom.com/,no url,United States,,,"$12.600,00","$800,00","$500,00",17,,,,,,,$500,$500,$500,$500,$500,$500,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800
Shopify,https://www.dexshell.us/,https://www.linkedin.com/company/dexshell-inc/,United States,,,"$9.600,00","$600,00","$400,00",17,,,,,,,$400,$400,$400,$400,$400,$400,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600
Shopify,https://akin.tech,https://www.linkedin.com/company/akin-lab,United States,,,"$10.200,00","$600,00","$500,00",17,,,,,,,$500,$500,$500,$500,$500,$500,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600
WooCommerce,https://amazingbibletimeline.com/,https://www.linkedin.com/company/amazing-bible-timeline,United States,,,"$1.800,00","$100,00","$100,00",17,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://artsetfacts.com/,no url,,Site under construction,,"$1.800,00","$100,00","$100,00",17,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://arpackagingbahankue.com/,no url,,Site is down,,"$3.500,00","$200,00","$100,00",17,,,,,,,$100,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
