Platform,Domain,Linkedin Company Page,Country,,Continent,Total,Max,Min,Months,,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2
BigCommerce,https://diapersewingsupplies.com/,no url,United States,,,"$700,00","$100,00","$100,00",6,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100
BigCommerce,https://greatnorthernpopcorn.com/,https://www.linkedin.com/company/great-northern-foundation/about/,United States,,,"$700,00","$100,00","$100,00",6,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100
BigCommerce,https://rollcagecomponents.com/,https://www.linkedin.com/company/roll-cage-components-llc,United States,,,"$700,00","$100,00","$100,00",6,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100
BigCommerce,https://loveblushbridal.com/,https://www.linkedin.com/company/blush-bridal,United States,,,"$700,00","$100,00","$100,00",6,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100
BigCommerce,https://store.boardgamebarrister.com/,https://www.linkedin.com/company/board-game-barrister/about/,United States,,,"$700,00","$100,00","$100,00",6,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100
BigCommerce,https://store.avguns.com/,https://www.linkedin.com/company/gun-point/about/,United States,,,"$700,00","$100,00","$100,00",6,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100
Shopify,https://firstrespondergear.ca/,no url,Canada,,,"$14.000,00","$2.000,00","$2.000,00",6,,,,,,,,,,,,,,,,,,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00
BigCommerce,https://shop.imperialtoy.com/,https://www.linkedin.com/company/imperial-toy/about/,United States,,,"$1.400,00","$200,00","$200,00",6,,,,,,,,,,,,,,,,,,$200,$200,$200,$200,$200,$200,$200
BigCommerce,https://tablewar.com/,no url,United States,,,"$700,00","$100,00","$100,00",6,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100
Shopify,https://www.wemestore.com/,no url,India,,,"$350,00","$50,00","$50,00",6,,,,,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50
Shopify,https://silkn.com/,https://www.linkedin.com/company/silkn,Netherlands,,EU,"$18.200,00","$2.800,00","$2.100,00",6,,,,,,,,,,,,,,,,,,$2.10,$2.10,$2.80,$2.80,$2.80,$2.80,$2.80
Magento,https://fourmine.com/,https://www.linkedin.com/company/four-mine,United States,,,"$13.800,00","$2.000,00","$1.900,00",6,,,,,,,,,,,,,,,,,,$1.90,$1.90,$2.00,$2.00,$2.00,$2.00,$2.00
Shopify,https://www.fiorebotanica.com/,https://www.linkedin.com/search/results/all/?keywords=Fiore%20Botanica%20Natural%20Skin%20Care,United States,,,"$12.600,00","$1.800,00","$1.800,00",6,,,,,,,,,,,,,,,,,,$1.80,$1.80,$1.80,$1.80,$1.80,$1.80,$1.80
Shopify,https://leftcoastdelivery.com/,no url,United States,,,"$2.100,00","$300,00","$300,00",6,,,,,,,,,,,,,,,,,,$300,$300,$300,$300,$300,$300,$300
ThirtyBees,https://jewelrymaking.supplies/,no url,Netherlands,,EU,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
ThirtyBees,https://sultrydesigns.com/,https://tt.linkedin.com/company/sultry-designs,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
PrestaShop,https://pellet-guns.com/,no url,South Africa,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
PrestaShop,https://jelitasara.com/,no url,Malaysia,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
ThirtyBees,https://swoppers.nl/,no url,Netherlands,,EU,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
ThirtyBees,https://sultrypleasures.com/,no url,United Kingdom,,EU,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://80acremarket.com,https://www.linkedin.com/company/80-acre-market,United States,,,"$16.200,00","$2.700,00","$2.700,00",5,,,,,,,,,,,,,,,,,,,$2.70,$2.70,$2.70,$2.70,$2.70,$2.70
Shopify,https://silverhealth.com.au/,https://www.linkedin.com/company/silver-health/about/,Australia,,,"$14.100,00","$2.400,00","$2.100,00",5,,,,,,,,,,,,,,,,,,,$2.10,$2.40,$2.40,$2.40,$2.40,$2.40
Magento,https://lacrosseunlimited.com/,https://www.linkedin.com/company/lacrosse-unlimited/about/,United States,,,"$10.300,00","$1.800,00","$1.700,00",5,,,,,,,,,,,,,,,,,,,$1.80,$1.70,$1.70,$1.70,$1.70,$1.70
Magento,https://berricle.com/,https://www.linkedin.com/company/berricle,United States,,,"$12.600,00","$2.100,00","$2.100,00",5,,,,,,,,,,,,,,,,,,,$2.10,$2.10,$2.10,$2.10,$2.10,$2.10
Shopify,https://gravid.ca/,https://www.linkedin.com/company/gravidca/about/,Canada,,,"$12.000,00","$2.000,00","$2.000,00",5,,,,,,,,,,,,,,,,,,,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00
Magento,https://undandy.com/,https://www.linkedin.com/company/undandy,Portugal,,EU,"$12.500,00","$2.100,00","$2.000,00",5,,,,,,,,,,,,,,,,,,,$2.00,$2.10,$2.10,$2.10,$2.10,$2.10
WooCommerce,https://yourtherapysource.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
ThirtyBees,https://storeteamgiants.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://goodtimemusicstore.com/,no url,United States,,,"$3.200,00","$600,00","$400,00",5,,,,,,,,,,,,,,,,,,,$400,$400,$600,$600,$600,$600
PrestaShop,https://laptok.com/,no url,Poland,,EU,"$2.400,00","$400,00","$400,00",5,,,,,,,,,,,,,,,,,,,$400,$400,$400,$400,$400,$400
PrestaShop,https://epestcontrol.com/,no url,United States,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
PrestaShop,https://equina.co.uk/,no url,United Kingdom,,EU,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
PrestaShop,https://suplefactory.com/,no url,Spain,,EU,"$2.400,00","$400,00","$400,00",5,,,,,,,,,,,,,,,,,,,$400,$400,$400,$400,$400,$400
PrestaShop,https://chapalacada.pt/,no url,Portugal,,EU,"$2.000,00","$400,00","$300,00",5,,,,,,,,,,,,,,,,,,,$400,$400,$300,$300,$300,$300
PrestaShop,https://americanshop.hr/,no url,Croatia,,EU,"$2.400,00","$400,00","$400,00",5,,,,,,,,,,,,,,,,,,,$400,$400,$400,$400,$400,$400
PrestaShop,https://punto-shopping.com/,no url,Italy,,,"$2.400,00","$400,00","$400,00",5,,,,,,,,,,,,,,,,,,,$400,$400,$400,$400,$400,$400
PrestaShop,https://bitzstore.com/,no url,France,,EU,"$2.400,00","$400,00","$400,00",5,,,,,,,,,,,,,,,,,,,$400,$400,$400,$400,$400,$400
ThirtyBees,https://storeteampredators.com/,no url,United States,,,"$300,00","$50,00","$50,00",5,,,,,,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50
ThirtyBees,https://storedolphins.com/,no url,United States,,,"$300,00","$50,00","$50,00",5,,,,,,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50
ThirtyBees,https://subram.party/,no url,,Couldn't find name of country,,"$300,00","$50,00","$50,00",5,,,,,,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50
PrestaShop,https://runach.fr/,https://www.linkedin.com/company/runach-arainn-limited,France,,EU,"$1.050,00","$200,00","$50,00",5,,,,,,,,,,,,,,,,,,,$50,$200,$200,$200,$200,$200
Magento,https://uberkinky.co.uk/,https://www.linkedin.com/company/uberkinky,United Kingdom,,EU,"$300,00","$50,00","$50,00",5,,,,,,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50
Magento,https://bigchill.com/,https://www.linkedin.com/company/big-chill-appliances,United States,,,"$2.400,00","$400,00","$400,00",5,,,,,,,,,,,,,,,,,,,$400,$400,$400,$400,$400,$400
Magento,https://candynation.com/,https://www.linkedin.com/company/candy-nation,United States,,,"$1.900,00","$400,00","$300,00",5,,,,,,,,,,,,,,,,,,,$400,$300,$300,$300,$300,$300
Magento,https://wanderbeauty.com/,no url,United States,,,"$2.400,00","$400,00","$400,00",5,,,,,,,,,,,,,,,,,,,$400,$400,$400,$400,$400,$400
Magento,https://industrialsafety.com/,https://www.linkedin.com/company/industrial-safety-llc,United States,,,"$3.400,00","$600,00","$400,00",5,,,,,,,,,,,,,,,,,,,$400,$600,$600,$600,$600,$600
Magento,https://rigidindustries.com/,https://www.linkedin.com/company/rigid-industries,United States,,,"$2.400,00","$400,00","$400,00",5,,,,,,,,,,,,,,,,,,,$400,$400,$400,$400,$400,$400
Shopify,https://www.jenshansen.co.nz/,no url,New Zealand,,,"$4.800,00","$800,00","$800,00",5,,,,,,,,,,,,,,,,,,,$800,$800,$800,$800,$800,$800
Shopify,https://www.koyara.com/,https://www.linkedin.com/company/koyara.com,Malaysia,,,"$5.400,00","$900,00","$900,00",5,,,,,,,,,,,,,,,,,,,$900,$900,$900,$900,$900,$900
Shopify,https://www.raiselower.co.nz/,https://www.linkedin.com/company/schiek-nz-limited/about/,New Zealand,,,"$4.800,00","$800,00","$800,00",5,,,,,,,,,,,,,,,,,,,$800,$800,$800,$800,$800,$800
Shopify,https://www.petconnect.nz/,https://www.linkedin.com/company/pet-connect-nz/,New Zealand,,,"$4.800,00","$800,00","$800,00",5,,,,,,,,,,,,,,,,,,,$800,$800,$800,$800,$800,$800
Shopify,https://minimicollection.com/,no url,New Zealand,,,"$4.800,00","$800,00","$800,00",5,,,,,,,,,,,,,,,,,,,$800,$800,$800,$800,$800,$800
WooCommerce,https://baristanet.com/,https://www.linkedin.com/company/baristanet.com-and-baristakids.com,United States,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
WooCommerce,https://milehidistilling.com/,no url,United States,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
WooCommerce,https://menusifu.com/,https://www.linkedin.com/company/menusifu,United States,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
WooCommerce,https://graphicsfuel.com/,no url,India,,,"$300,00","$50,00","$50,00",5,,,,,,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50
WooCommerce,https://jazziz.com/,https://www.linkedin.com/company/jazziz-magazine,United States,,,"$300,00","$50,00","$50,00",5,,,,,,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50
PrestaShop,https://elba-arbeitsschutz.com/,https://www.linkedin.com/company/elba-arbeitsschutz,Germany,,EU,"$300,00","$50,00","$50,00",5,,,,,,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50
Shopify,https://slabsoap.com/,no url,United States,,,"$3.600,00","$600,00","$600,00",5,,,,,,,,,,,,,,,,,,,$600,$600,$600,$600,$600,$600
Shopify,https://www.phacebioactive.com/,https://www.linkedin.com/company/phace-bioactive,United States,,,"$3.600,00","$600,00","$600,00",5,,,,,,,,,,,,,,,,,,,$600,$600,$600,$600,$600,$600
Shopify,https://www.thedriftwoodhaus.com/,no url,,Couldn't find name of country,,"$4.100,00","$700,00","$600,00",5,,,,,,,,,,,,,,,,,,,$600,$700,$700,$700,$700,$700
Magento,https://dtaconline.dtac.co.th /,https://www.linkedin.com/company/dtac,Thailand,,,"$4.200,00","$700,00","$700,00",5,,,,,,,,,,,,,,,,,,,$700,$700,$700,$700,$700,$700
Magento,https://wwhardware.com/,no url,United States,,,"$4.200,00","$700,00","$700,00",5,,,,,,,,,,,,,,,,,,,$700,$700,$700,$700,$700,$700
Shopify,https://inspiredbysavy.com/,no url,United States,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://sevenineco.com/,https://www.linkedin.com/company/sevenine-co.,United States,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://yoginiyoga.net/,no url,Canada,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://www.equiderma.com/,no url,United States,,,"$16.200,00","$2.700,00","$2.700,00",5,,,,,,,,,,,,,,,,,,,$2.70,$2.70,$2.70,$2.70,$2.70,$2.70
Shopify,https://www.benchracingparts.com/,https://www.linkedin.com/company/bench-racing-parts,United States,,,"$20.400,00","$3.400,00","$3.400,00",5,,,,,,,,,,,,,,,,,,,$3.40,$3.40,$3.40,$3.40,$3.40,$3.40
Shopify,https://alpinemall.com/,https://kz.linkedin.com/company/majid-al-futtaim?trk=ppro_cprof,United States,,,"$6.600,00","$1.100,00","$1.100,00",5,,,,,,,,,,,,,,,,,,,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10
Shopify,https://us.cardinalofcanada.com/,https://www.linkedin.com/company/cardinal-clothes-inc/,Canada,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://wallachsmenswear.com/,no url,United States,,,"$4.100,00","$800,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$800,$800,$800,$800,$800
Shopify,https://www.accessories4seasons.com/,no url,United States,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://srdlv.com/,no url,United States,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://shop.hifiteam.at/,no url,Austria,,,"$14.400,00","$2.400,00","$2.400,00",5,,,,,,,,,,,,,,,,,,,$2.40,$2.40,$2.40,$2.40,$2.40,$2.40
Shopify,https://beautyandprana.com/,no url,United States,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://wow3dprinter.com/,https://www.linkedin.com/company/wow3dprinter,United States,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://mermaidsuds.com/,no url,,Couldn't find name of country,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://www.edenluxebridal.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://unyeshop.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://www.southernrootsgranola.com/,no url,United States,,,"$3.600,00","$600,00","$600,00",5,,,,,,,,,,,,,,,,,,,$600,$600,$600,$600,$600,$600
Shopify,https://www.cocokinisurf.com,no url,,Couldn't find name of country,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://timetoshade.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://shophomerundeals.com/,no url,United States,,,"$4.200,00","$700,00","$700,00",5,,,,,,,,,,,,,,,,,,,$700,$700,$700,$700,$700,$700
Shopify,https://www.medgreenbeautysupply.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://herlayers.com/,no url,,Website is down,,"$6.500,00","$1.200,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$1.20,$1.20,$1.20,$1.20,$1.20
Shopify,https://www.mortisetenon.com/,no url,United States,,,"$2.500,00","$500,00","$400,00",5,,,,,,,,,,,,,,,,,,,$500,$400,$400,$400,$400,$400
Shopify,https://lcmpet.com/,no url,United States,,,"$4.000,00","$700,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$700,$700,$700,$700,$700
Shopify,https://bksjewelryco.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://itsconglobal.myshopify.com/,https://www.linkedin.com/company/itsconglobal,United States,,,"$18.900,00","$3.400,00","$3.100,00",5,,,,,,,,,,,,,,,,,,,$3.40,$3.10,$3.10,$3.10,$3.10,$3.10
Shopify,https://wickedcushions.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://www.shopglitterati.com/,no url,United States,,,"$2.000,00","$500,00","$300,00",5,,,,,,,,,,,,,,,,,,,$500,$300,$300,$300,$300,$300
Shopify,https://www.3crowsconjure.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://www.southerncharmclothing.com/,https://www.linkedin.com/company/southerncharmclothing,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://schleunigeruniversity.com/,no url,United States,,,"$1.800,00","$300,00","$300,00",5,,,,,,,,,,,,,,,,,,,$300,$300,$300,$300,$300,$300
Magento,https://directtoolsoutlet.com/,https://www.linkedin.com/company/direct-tools-factory-outlet,United States,,,"$6.500,00","$1.200,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$1.20,$1.20,$1.20,$1.20,$1.20
Shopify,https://thewildflowermarket.com/,no url,United States,,,"$4.000,00","$700,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$700,$700,$700,$700,$700
Shopify,https://naturallclub.com/,https://www.linkedin.com/company/naturall-club,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://littlelunablue.com/,no url,United States,,,"$3.600,00","$600,00","$600,00",5,,,,,,,,,,,,,,,,,,,$600,$600,$600,$600,$600,$600
Shopify,https://yogabeach.guru/,no url,,Website is down,,"$3.600,00","$600,00","$600,00",5,,,,,,,,,,,,,,,,,,,$600,$600,$600,$600,$600,$600
Shopify,https://saltwaterbrewery.com/,https://www.linkedin.com/company/saltwater-brewery,United States,,,"$3.600,00","$600,00","$600,00",5,,,,,,,,,,,,,,,,,,,$600,$600,$600,$600,$600,$600
Shopify,https://www.artistliquidlabs.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://www.goodwear.com/,https://www.linkedin.com/company/goodwear-usa,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Magento,https://qcsupply.com/,https://www.linkedin.com/company/qc-supply-llc,United States,,,"$16.600,00","$2.900,00","$2.100,00",5,,,,,,,,,,,,,,,,,,,$2.10,$2.90,$2.90,$2.90,$2.90,$2.90
Magento,https://poolzoom.com/,https://www.linkedin.com/company/poolzoom,United States,,,"$12.500,00","$2.100,00","$2.000,00",5,,,,,,,,,,,,,,,,,,,$2.00,$2.10,$2.10,$2.10,$2.10,$2.10
Shopify,https://trackerdie.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://maltipaws.com/,no url,,Website is down,,"$4.200,00","$700,00","$700,00",5,,,,,,,,,,,,,,,,,,,$700,$700,$700,$700,$700,$700
Shopify,https://italianconceptusa.com/,no url,United States,,,"$3.600,00","$600,00","$600,00",5,,,,,,,,,,,,,,,,,,,$600,$600,$600,$600,$600,$600
Shopify,https://glydergallery.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://www.sweetcajunsoulwarehouse.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://www.highoctaneproducts.com/,no url,United States,,,"$1.300,00","$300,00","$200,00",5,,,,,,,,,,,,,,,,,,,$300,$200,$200,$200,$200,$200
Shopify,https://bunnylovers.us/,no url,,Website is down,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://theforestrystudio.com/,https://www.linkedin.com/company/modern-forestry-llc/about/,United States,,,"$3.500,00","$600,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$600,$600,$600,$600,$600
Shopify,https://mercenarygeneral.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://netgear.anlander.com/,no url,Hong Kong,,,"$7.600,00","$1.300,00","$1.100,00",5,,,,,,,,,,,,,,,,,,,$1.10,$1.30,$1.30,$1.30,$1.30,$1.30
Shopify,https://shop.mitgard.com/,no url,Peru,,,"$4.800,00","$800,00","$800,00",5,,,,,,,,,,,,,,,,,,,$800,$800,$800,$800,$800,$800
Shopify,https://www.juliedumbarton.com/,no url,United Kingdom,,EU,"$8.200,00","$1.400,00","$1.200,00",5,,,,,,,,,,,,,,,,,,,$1.20,$1.40,$1.40,$1.40,$1.40,$1.40
Shopify,https://aberdeen-furniture.co.uk,no url,United Kingdom,,EU,"$9.300,00","$1.600,00","$1.300,00",5,,,,,,,,,,,,,,,,,,,$1.30,$1.60,$1.60,$1.60,$1.60,$1.60
Shopify,https://www.topsofas.co.uk/,https://www.linkedin.com/company/topsofas/,United Kingdom,,EU,"$8.400,00","$1.400,00","$1.400,00",5,,,,,,,,,,,,,,,,,,,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40
Shopify,https://planteria.ca/,no url,Canada,,,"$10.800,00","$1.800,00","$1.800,00",5,,,,,,,,,,,,,,,,,,,$1.80,$1.80,$1.80,$1.80,$1.80,$1.80
PrestaShop,https://enzian-naturalpin.de/,no url,Germany,,EU,"$300,00","$50,00","$50,00",5,,,,,,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50
Shopify,https://evolvedphysique.com/,https://www.linkedin.com/company/evolvedphysique,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://www.shatterbatter.com/,https://www.linkedin.com/company/shatterbatter/,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://bellabraidedwigs.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://brushking.org,no url,United States,,,"$2.500,00","$500,00","$400,00",5,,,,,,,,,,,,,,,,,,,$500,$400,$400,$400,$400,$400
Shopify,https://www.gulfcoastgems.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://farm-eatery.myshopify.com/,https://au.linkedin.com/company/acre-farm-eatery,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://stockmfgco.com/,https://www.linkedin.com/company/stock-mfg-co-,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Magento,https://rdo-medical.co.uk/,https://www.linkedin.com/company/rdo-medical-uk-limited,United Kingdom,,EU,"$7.100,00","$1.200,00","$1.100,00",5,,,,,,,,,,,,,,,,,,,$1.10,$1.20,$1.20,$1.20,$1.20,$1.20
Magento,https://huppme.com/,https://www.linkedin.com/company/huppme-e-com-network-pvt--ltd-,India,,,"$6.600,00","$1.100,00","$1.100,00",5,,,,,,,,,,,,,,,,,,,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10
Magento,https://dicks.nl/,no url,Netherlands,,EU,"$6.900,00","$1.300,00","$1.000,00",5,,,,,,,,,,,,,,,,,,,$1.00,$1.00,$1.00,$1.30,$1.30,$1.30
Magento,https://davesrunning.com/,https://www.linkedin.com/company/daves-running-shop,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
WooCommerce,https://office-watch.com/,https://www.linkedin.com/company/office-watch-com,Australia,,,"$300,00","$50,00","$50,00",5,,,,,,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50
Magento,https://acmedical.ca/,no url,Canada,,,"$15.600,00","$2.600,00","$2.600,00",5,,,,,,,,,,,,,,,,,,,$2.60,$2.60,$2.60,$2.60,$2.60,$2.60
Magento,https://helmpublishing.com/,https://www.linkedin.com/company/helm-publishing,United States,,,"$15.300,00","$2.600,00","$2.500,00",5,,,,,,,,,,,,,,,,,,,$2.50,$2.50,$2.50,$2.60,$2.60,$2.60
Magento,https://beyoung.in/,https://www.linkedin.com/company/beyoung-in/,India,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Magento,https://lsl.eu/,no url,Germany,,EU,"$3.600,00","$600,00","$600,00",5,,,,,,,,,,,,,,,,,,,$600,$600,$600,$600,$600,$600
Shopify,https://indiafashionxpress.com/,https://www.linkedin.com/company/india-fashion-xpress/,United States,,,"$1.100,00","$200,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$200,$200,$200,$200,$200
Shopify,https://photographerswatch.com/,no url,United States,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://shereemaries.myshopify.com,no url,United States,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://fltblk.com/,no url,United States,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://glovchile.cl/,no url,Chile,,,"$600,00","$100,00","$100,00",5,,,,,,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100
Shopify,https://moonwaterco.com/,no url,United States,,,"$3.000,00","$500,00","$500,00",5,,,,,,,,,,,,,,,,,,,$500,$500,$500,$500,$500,$500
Shopify,https://cooleastmarket.com/,https://www.linkedin.com/company/jiao-jiao-imports,Canada,,,"$13.100,00","$2.200,00","$2.100,00",5,,,,,,,,,,,,,,,,,,,$2.10,$2.20,$2.20,$2.20,$2.20,$2.20
Shopify,https://bondiborn.com/,https://www.linkedin.com/company/bondi-born,Australia,,,"$14.000,00","$2.400,00","$2.000,00",5,,,,,,,,,,,,,,,,,,,$2.00,$2.40,$2.40,$2.40,$2.40,$2.40
Shopify,https://www.missmeowni.com/,no url,United States,,,"$12.600,00","$2.100,00","$2.100,00",5,,,,,,,,,,,,,,,,,,,$2.10,$2.10,$2.10,$2.10,$2.10,$2.10
WooCommerce,https://elsaelsa.com/,no url,United States,,,"$1.300,00","$300,00","$200,00",5,,,,,,,,,,,,,,,,,,,$300,$200,$200,$200,$200,$200
